Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,EMA_50,RSI,MACD,Sentiment
1/1/2019,101.033224,102.6173306,100.1604143,101.1490203,101.1490203,751021,,101.1490203,,0,-0.070834471
1/2/2019,99.45998187,100.9450761,98.48456794,98.72711474,98.72711474,854208,,101.0540436,,-0.193200444,0.488736409
1/3/2019,101.0343195,102.597468,99.32108006,101.4863989,101.4863989,906479,,101.0709987,,-0.122252763,0.238890148
1/4/2019,102.5200492,103.0325948,100.7068163,101.4740606,101.4740606,331615,,101.0868051,,-0.066258033,0.606151285
1/7/2019,103.3809104,104.2074115,102.427211,103.1177977,103.1177977,709981,,101.1664518,,0.109491885,-0.136389798
1/8/2019,102.5355761,104.0281026,100.747529,101.0982269,101.0982269,725219,,101.1637764,,0.08483456,0.571616968
1/9/2019,103.6150638,104.8410478,101.8292174,104.3328598,104.3328598,800251,,101.2880541,,0.322582758,-0.075086366
1/10/2019,105.2252918,105.733262,103.5783153,105.5133585,105.5133585,237852,,101.4537523,,0.599347398,0.881931576
1/11/2019,105.3282586,107.0350006,104.608216,104.7994876,104.7994876,389194,,101.5849576,,0.752408653,-0.027255798
1/14/2019,105.0384214,106.6976358,103.5029372,104.7319278,104.7319278,697839,,101.7083682,,0.858364594,-0.074761456
1/15/2019,104.027546,105.3501748,102.1100099,103.7858925,103.7858925,430810,,101.7898398,,0.856129373,0.570143723
1/16/2019,102.2396274,102.8393224,100.7158167,102.9750441,102.9750441,848979,,101.8363184,,0.779938609,0.643155384
1/17/2019,102.7283123,104.3780849,101.730887,105.2644606,105.2644606,706304,,101.9707553,,0.89398832,0.108978229
1/18/2019,101.574921,102.9504914,100.324052,101.1806505,101.1806505,737423,,101.9397708,50.07129209,0.647381576,-0.640404373
1/21/2019,99.54571566,101.2186556,98.0771281,99.11816179,99.11816179,153010,,101.8291195,45.81197158,0.282264584,-0.064483538
1/22/2019,99.40596903,101.0335895,98.14011342,100.2583093,100.2583093,332084,,101.7675191,53.33386731,0.083939508,0.936145006
1/23/2019,98.63675914,100.3412622,97.95682973,97.78397241,97.78397241,662453,,101.6113016,41.83742929,-0.269782959,0.505972386
1/24/2019,99.4240493,100.7010614,98.45595324,97.94429305,97.94429305,373672,,101.4674973,42.26853044,-0.531052385,0.622325208
1/25/2019,97.91583369,98.62632047,96.21223965,96.54272821,96.54272821,280680,,101.2743691,35.44379069,-0.841504517,-0.934349002
1/28/2019,97.06053041,98.56726663,95.26840335,96.09111893,96.09111893,499130,101.3687442,101.0711044,38.08803709,-1.111172261,-0.064281075
1/29/2019,98.10415195,99.53486263,97.39820191,97.95696252,97.95696252,661424,101.2091413,100.9489812,33.77498152,-1.160945252,0.293242267
1/30/2019,95.83843467,97.45181445,93.90985454,98.05699297,98.05699297,448152,101.1756352,100.8355699,29.92133626,-1.178731404,0.660065367
1/31/2019,96.94209405,97.69691556,95.94886012,98.83273569,98.83273569,636364,101.0429521,100.7570274,33.98596226,-1.117350976,-0.901452693
2/1/2019,96.3125937,97.1050565,94.81912309,96.98357918,96.98357918,780143,100.818428,100.609049,31.01951109,-1.204038613,0.704877771
2/4/2019,94.70260379,96.53821807,93.07486607,95.72142631,95.72142631,802076,100.4486094,100.4173775,30.5464281,-1.358919598,0.096801873
2/5/2019,96.62314985,98.24811655,94.9052305,95.82502545,95.82502545,674586,100.1849494,100.2372853,32.14300657,-1.456514519,-0.605372059
2/6/2019,96.40297838,98.26532111,94.48435382,95.38238501,95.38238501,940736,99.73742562,100.046897,22.81176915,-1.551689667,-0.365489567
2/7/2019,96.46668742,98.1047604,95.49730809,96.52049573,96.52049573,965792,99.28778248,99.9086068,34.69847309,-1.517784559,-0.436140896
2/8/2019,94.433844,95.82957696,92.64608432,94.77360107,94.77360107,169835,98.78648815,99.70723403,35.43281595,-1.613277458,0.061718069
2/11/2019,95.84631926,97.32751837,95.14878891,93.88646227,93.88646227,622757,98.24421488,99.47896847,28.26664335,-1.740477811,-0.89662864
2/12/2019,93.90255397,95.73624586,92.34499261,92.76102051,92.76102051,736712,97.69297128,99.21551953,31.13125874,-1.910080531,-0.682927683
2/13/2019,95.26907873,96.63728886,93.65611213,94.16095943,94.16095943,763478,97.25226705,99.01730149,36.99873262,-1.909516817,0.625386087
2/14/2019,94.97926481,96.42785179,93.46267995,96.25893714,96.25893714,354394,96.80199087,98.90913034,49.06931031,-1.71995424,-0.734792019
2/15/2019,94.23248686,94.96720193,93.35401475,95.11293507,95.11293507,419055,96.4986051,98.76025993,46.93179821,-1.643254902,-0.533207461
2/18/2019,94.96932464,96.18020647,93.15975992,95.93486498,95.93486498,203088,96.33944026,98.64946013,43.21296044,-1.498869218,-0.093258789
2/19/2019,94.30707403,95.8816697,93.55378633,94.00799836,94.00799836,639473,96.02692471,98.46744202,37.89436382,-1.522375559,0.034241776
2/20/2019,94.50609538,95.41250943,93.92564319,95.75245615,95.75245615,674901,95.9253489,98.36097199,41.29486226,-1.384284172,0.527220959
2/21/2019,92.3888973,93.19227857,90.81269981,91.90173278,91.90173278,865372,95.62322089,98.10766849,37.09790109,-1.567497808,-0.105335147
2/22/2019,91.4946034,92.46534361,90.28138982,92.01293446,92.01293446,264999,95.3967312,97.86865931,40.00025041,-1.684307243,0.579729242
2/25/2019,92.44517274,93.30742368,90.67152571,91.21578357,91.21578357,362530,95.15296443,97.60776222,38.01952593,-1.820220606,0.236692614
2/26/2019,92.94254718,93.76491613,91.86745147,91.38464228,91.38464228,585369,94.82434842,97.3637183,39.45892705,-1.89249197,-0.773800521
2/27/2019,90.67946336,91.81673962,89.92704547,92.75689163,92.75689163,565944,94.55934335,97.18305844,40.19733036,-1.818080788,-0.687337123
2/28/2019,89.49479191,91.35654968,87.74012862,92.45834916,92.45834916,392164,94.24062403,96.99777572,43.47760511,-1.762877914,-0.125932549
3/1/2019,92.68192926,93.94251873,91.35856481,92.10458211,92.10458211,666966,93.99667417,96.80588577,44.82466177,-1.727758756,-0.206221214
3/4/2019,88.90220866,89.68408923,88.11841497,90.35036578,90.35036578,317767,93.72812115,96.55272813,43.24515088,-1.820491672,0.487088539
3/5/2019,89.32447775,89.93993525,87.74390175,89.51135007,89.51135007,161394,93.41243738,96.27659565,36.54857313,-1.939329351,0.16147428
3/6/2019,87.91849135,89.46272557,86.65182089,91.47697637,91.47697637,824305,93.21716695,96.08837529,36.05891786,-1.853533076,-0.223733838
3/7/2019,88.34374617,89.41794431,86.93727669,91.32998325,91.32998325,739665,92.95764132,95.90177168,38.28923457,-1.776916836,-0.658479433
3/8/2019,91.03080762,92.76355404,89.83946011,91.21217179,91.21217179,746004,92.77956986,95.7178658,34.71371082,-1.706038168,-0.546325795
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
